"param_val","score_mean","score_sd","score_min","score_p01","score_p05","score_p10","score_p25","score_median","score_p75","score_p90","score_p95","score_p99","score_max","tail_drop_median","tail_drop_mean","fail_risk_60","critical_fail_risk_30","labor_hours_mean","labor_hours_median","labor_hours_p95","total_cost_mean","total_cost_median","total_cost_p95","total_cost_max","overtime_mean","overtime_median","overtime_p95","overtime_prob","backlog_mean","backlog_median","backlog_p95","backlog_prob"
0.05,1.26222000000002,4.20615234973593,0,0,0,0,0,0,0,3.7040000000001,9.1110000000001,20.8878000000001,37.3600000000001,NA,1,1,0.996,186.9071285,186.47325,211.869341666667,12102.420779365,12047.1867665742,14349.2599250112,15749.7941911815,3104.95359626128,3047.18676657424,5349.25992501126,0.995,0.151999999999999,0,0,0.006
0.1,2.00392000000002,5.58020000229979,0,0,0,0,0,0,0,8.26400000000012,14.9620000000001,25.4000000000001,41.8400000000001,NA,1,1,0.994,185.7435225,185.2475,209.567716666667,12030.2995580724,11970.3530338393,14115.3990581124,15747.3056569442,3032.02318524126,2970.35303383928,5115.39905811241,0.993,0.0649999999999998,0,0,0.004
0.15,3.25254000000003,7.08368537887923,0,0,0,0,0,0,1.4800000000001,12.7000000000001,19.5510000000001,30.6204000000001,44.8400000000001,NA,1,1,0.989,186.731518,186.005083333333,211.176458333333,12114.2266911481,12017.5636422964,14490.3255085836,15748.8854472929,3116.19309288463,3017.56364229637,5490.32550858362,0.994,0.201,0,0,0.005
0.2,5.58070000000004,9.29812156161533,0,0,0,0,0,0,8.88000000000008,20.2600000000001,26.9200000000001,36.7004000000001,46.4000000000001,NA,1,1,0.963,185.369015,184.613333333333,211.014283333333,11964.8510578281,11909.1005790116,14310.2820959047,15743.8521741601,2966.81410605296,2909.10057901164,5310.28209590473,0.993,0.0789999999999996,0,0,0.004
0.25,7.83714000000005,10.838099566927,0,0,0,0,0,0.740000000000109,13.4400000000001,25.4000000000001,31.2840000000001,41.0204000000001,53.72,1,1,1,0.946,186.2596445,185.426833333333,211.08995,12059.0651717612,11977.2386377734,14509.4300384274,15740.5875849222,3060.4468642376,2977.23863777342,5509.43003842737,0.991,0.0780000000000002,0,0,0.004
0.3,11.9833400000001,12.7098000086808,0,0,0,0,0,8.80000000000007,20.9700000000001,31.4000000000001,35.7620000000001,46.4066000000001,53.8800000000001,1,1,1,0.889,186.224266,185.81025,210.364225,12043.8304572837,11975.6411834554,14317.7991025642,15745.5107000493,3044.36407769822,2975.64118345545,5317.79910256419,0.997,0.295999999999998,0,0,0.009
0.35,16.4318200000001,13.8422020229602,0,0,0,0,2.17000000000009,16.3600000000001,25.3300000000001,35.1400000000001,41.133,53.0200000000001,67.24,1,1,0.997,0.837,185.333364166667,185.313166666667,212.306741666667,11999.4749152119,11938.3918083593,14470.6624533226,15748.7089289485,3000.98194123002,2938.39180835932,5470.66245332268,0.992,0.0550000000000002,0,0,0.003
0.4,21.0285200000001,14.9994055607806,0,0,0,0,8.9200000000001,20.8800000000001,32.1900000000001,41.724,46.9800000000001,53.7604000000001,65.76,1,1,0.998,0.714,186.962131333333,186.408166666666,211.006,12099.6704859448,12067.268707951,14517.0735058602,15748.2872016899,3100.22825522333,3067.26870795099,5517.07350586023,0.997,0.149,0,0,0.006
0.45,27.9219000000001,15.4103076663762,0,0,0,6.51000000000007,16.4400000000001,28.3800000000001,38.8400000000001,47.8000000000001,53.0200000000001,61.9808,73.2,1,1,0.986,0.537,185.922162166667,185.1135,212.036183333333,12043.81302118,12012.42529884,14495.7113239361,15748.2829802202,3045.72940305525,3012.42529883998,5495.71132393612,0.993,0.156,0,0,0.006
0.5,33.6909000000001,14.9576848317353,0,0,8.06700000000008,13.2760000000001,23.6050000000001,35.0200000000001,44.0600000000001,52.944,56.829,64.2866,73.2,0.769645916619073,0.760558489087556,0.969,0.397,186.117183833333,185.04075,211.187258333333,12080.1005925344,11992.2146423134,14549.7308219302,15747.4710238186,3082.14471307342,2992.21464231336,5549.73082193025,0.99,0.0669999999999999,0,0,0.002
0.55,40.0036000000001,14.1164620759432,0,5.10000000000008,14.7980000000001,20.7560000000001,31.0850000000001,40.9800000000001,50.0700000000001,57.464,61.24,70.207,79.16,0.638897022938017,0.630083292503674,0.94,0.231,186.457728833333,186.148083333333,210.47595,12076.6296434024,12021.369846802,14296.8210195108,15748.3059442308,3076.76793934509,3021.36984680205,5296.82101951076,0.998,0.126999999999999,0,0,0.005
0.6,46.6385,12.7701170095829,1.36000000000008,15.4860000000001,24.5780000000001,29.6620000000001,38.0900000000001,47.72,55.21,62.082,67.162,74.7266,80.64,0.484953897736797,0.47301049562057,0.872,0.109,185.547432166667,184.19525,211.003708333333,12029.2715737324,11899.1940370967,14515.2553513803,15744.4805114123,3030.97438489066,2899.19403709669,5515.25535138027,0.995,0.108999999999999,0,0,0.007
0.65,53.6103,11.7412151007484,14.0200000000001,23.0592000000001,32.8360000000001,37.24,46.2,54.36,61.98,67.9,70.94,76.9474,85.9,0.395952906548932,0.38750575915449,0.689,0.029,185.7927445,184.98575,211.767591666667,12017.6077293437,11949.8455840978,14356.5291136037,15747.8633346674,3018.2746544638,2949.84558409783,5356.52911360372,0.995,0.131,0,0,0.006
0.7,59.7697,10.3945223461593,21.5800000000001,35.7522000000001,41.72,45.46,52.9700000000001,60.4,66.655,73.084,76.16,81.42,91.86,0.309271523178808,0.301987461874494,0.496,0.004,186.617177666667,185.778166666667,212.499358333333,12098.5763094264,12016.1813818351,14559.7818601312,15748.3089810441,3100.38751349679,3016.18138183514,5559.78186013116,0.993,0.0570000000000003,0,0,0.007
0.75,67.01906,9.50762679556173,32.7600000000001,40.2796000000001,49.9800000000001,54.456,61.19,68.29,73.86,78.38,81.342,85.0804,91.12,0.268121247620442,0.254242002200567,0.224,0,185.747153833333,185.040666666667,211.917275,12028.6513636325,11956.903368903,14363.0381258159,15748.3790337511,3029.272910937,2956.90336890295,5363.03812581593,0.995,0.204000000000002,0,0,0.006
0.8,72.97426,8.40577113897592,45.42,52.1996,58.825,61.794,67.665,73.86,79.12,83.6,85.82,90.3474,94.08,0.203560790685079,0.193893846953706,0.073,0,187.164491333333,186.636916666667,211.95585,12144.2967923109,12059.2538689688,14554.5024997529,15746.7806031864,3145.40037250087,3059.25386896882,5554.50249975288,0.996,0.312000000000001,0,0,0.009
0.85,79.6734,7.16817354365475,42.42,60.38,67.12,70.16,75.34,79.86,85.08,88.12,90.3,93.347,97.04,0.159529176058101,0.157560741728105,0.009,0,185.680812333333,184.738583333333,209.703608333334,12024.2520868469,11940.6365207453,14346.8917009034,15745.6060693696,3024.81838845661,2940.63652074527,5346.89170090335,0.996,0.179,0,0,0.004
0.9,86.39676,5.80662552627621,59.6,70.073,76.08,79.08,82.82,86.6,90.3,93.34,95.52,97.78,99.26,0.121478060046189,0.119411422372783,0.001,0,186.632736333333,186.130916666667,212.134075,12064.010920883,11960.2503646086,14489.1131174863,15746.7925880749,3065.15020245607,2960.25036460858,5489.11311748632,0.995,0.156,0,0,0.006
0.95,92.92068,4.14131878256901,68.52,80.5996,85.78,87.3,90.3,93.3,95.56,97.78,98.52,99.2674,100,0.0806002143622722,0.0768470484718795,0,0,186.635395666667,185.546416666667,212.83755,12064.0598071386,11981.9551127037,14539.5025776344,15746.679239078,3065.09017140539,2981.95511270371,5539.50257763441,0.991,0.231,0,0,0.011
