"param_val","score_mean","score_sd","score_min","score_p01","score_p05","score_p10","score_p25","score_median","score_p75","score_p90","score_p95","score_p99","score_max","tail_drop_median","tail_drop_mean","fail_risk_60","critical_fail_risk_30","labor_hours_mean","labor_hours_median","labor_hours_p95","total_cost_mean","total_cost_median","total_cost_p95","total_cost_max","overtime_mean","overtime_median","overtime_p95","overtime_prob","backlog_mean","backlog_median","backlog_p95","backlog_prob"
40,80.0812,7.11781856337326,52.86,61.86,67.12,70.856,75.38,80.6,85.08,88.82,91.08,94.08,99.26,0.167245657568238,0.161850721517659,0.004,0,185.9985965,185.359583333333,209.496066666667,11034.5406170974,10989.3739356215,12547.6369601258,16090.8459357806,32.810574461318,0,0,0.044,0,0,0,0
39,79.57376,6.95051033063443,54.38,61.8526,67.158,70.16,75.34,79.86,85.04,88.08,90.3,93.3004,97.78,0.159053343350863,0.156028318883008,0.008,0,187.151787,186.150666666666,212.4391,11159.7209462758,11053.8203029642,12962.1241278846,15508.4328722632,92.1296146278147,0,722.124127884586,0.128,0,0,0,0
38,79.77098,7.01274131708709,52.9800000000001,61.113,67.196,70.196,75.37,80.6,85.04,88.08,90.34,94.04,97.78,0.166302729528536,0.157638529700901,0.007,0,186.4293675,186.085,208.522875,11108.1963939775,11034.4188721248,12890.3998360119,15736.1345264043,137.037294211275,0,1010.39983601188,0.174,0,0,0,0
37,79.64402,7.29621917528893,49.08,59.6322,66.34,70.116,75.34,80.56,84.34,88.12,90.342,94.04,96.3,0.176514399205561,0.167043552045715,0.011,0,186.382374666667,186.18075,210.66675,11134.590371175,11020.9755396287,13203.5909670573,15312.3300203209,288.782998326456,0,1683.59096705729,0.303,0,0,0,0
36,79.39112,7.02455162064249,52.9,61.1192,67.12,70.86,74.64,79.82,84.3,88.186,91.04,93.34,97.04,0.159107992984214,0.154565397238381,0.007,0,186.200929666667,185.868416666667,210.148891666666,11190.6981271578,11027.9540646728,13252.3946534512,15540.5550495992,449.78207795063,0,2092.39465345124,0.452,0,0,0,0
35,79.96012,7.08612268594894,55.86,60.4196,67.789,70.82,75.34,80.6,85.08,88.82,91.04,94.04,97.04,0.15894540942928,0.15221487911724,0.009,0,186.652895833333,186.433666666667,209.994475,11296.4520968924,11107.206262219,13450.422054366,17283.589479767,738.962802642077,307.206262219058,2650.422054366,0.589,0,0,0,0
34,80.1815,7.21002109249024,48.42,61.1126,67.858,70.754,75.38,81.3,85.08,88.82,91.04,93.3004,95.56,0.165338253382534,0.153695054345454,0.009,0,186.037040333333,185.25175,211.365966666666,11394.6806036936,11299.7062006274,13623.576292956,16073.8067397462,1086.34131730517,859.706200627356,3183.57629295597,0.72,0,0,0,0
33,79.42494,7.44571959831531,53.56,60.34,65.638,69.34,75.3,79.86,84.35,88.82,90.34,94.08,98.52,0.17808665164037,0.173584518918113,0.009,0,185.979113833333,184.979333333333,212.6033,11523.8409711004,11390.9033561412,13860.7057225135,17638.6372671206,1510.76489948878,1310.9033561412,3780.70572251351,0.849,0.004,0,0,0.001
32,79.53166,7.25005902046321,55.82,60.333,67.08,69.38,74.64,79.86,85.08,88.78,90.3,93.34,97.78,0.160030052592036,0.156562304873304,0.01,0,186.35687,185.4005,210.084608333333,11722.7702563641,11643.3718174198,13964.6230276235,16468.9376872872,2021.77691455708,1923.37181741985,4244.62302762356,0.939,0,0,0,0
31,79.50746,7.1711948505102,54.42,61.1122,67.12,70.12,74.64,79.82,85.04,88.82,90.375,93.3004,97.78,0.159107992984214,0.155802486961601,0.009,0,187.062485166667,186.732666666667,212.057558333333,11932.0306593766,11890.7219481564,14233.7162908669,16374.3597250473,2578.53736287741,2530.72194815638,4873.71629086692,0.975,0.0310000000000004,0,0,0.001
