task_id,category,severity,description,prerequisites,p_defect,p_miss_base,p1,t1_a,t1_m,t1_b,cost1,p2,t2_a,t2_m,t2_b,cost2,vendor2_flag,lag2_min,lag2_max,lockout2_hrs,p3,t3_a,t3_m,t3_b,cost3,vendor3_flag,lag3_min,lag3_max,lockout3_hrs
FS-01,FS,LT,Smoke Detector,EL-02|SU-03,0.15,0.02,0.80,5,10,15,5,0.20,10,15,25,25,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
FS-02,FS,LT,Carbon Monoxide Detector,NA,0.10,0.02,0.85,5,10,15,5,0.15,10,15,25,35,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
FS-03,FS,LT,Unit Fire Door Closer,FS-04,0.05,0.05,0.75,5,10,20,0,0.25,15,25,40,65,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
FS-04,FS,LT,Unit Fire Door Fit/Latch,NA,0.05,0.05,0.70,5,10,20,0,0.25,15,30,45,150,FALSE,0,0,0,0.05,0,0,0,800,TRUE,7,21,0
FS-05,FS,LT,Egress Window,NA,0.05,0.10,0.80,10,15,25,5,0.20,30,60,90,120,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
EL-01,EL,LT,GFCI Receptacles,EL-02|SU-03,0.10,0.05,0.85,10,15,25,20,0.15,30,60,90,30,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
EL-02,EL,LT,Breaker Box,NA,0.05,0.02,0.90,5,10,15,5,0.10,0,0,0,250,TRUE,1,3,0,0.00,0,0,0,0,FALSE,0,0,0
EL-03,EL,STD,Wall Plates & Covers,EL-01|EL-05|SU-05,0.25,0.15,0.95,5,10,15,2,0.05,10,15,25,5,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
EL-04,EL,STD,Light Fixtures,EL-02|SU-03,0.15,0.05,0.70,5,10,15,5,0.30,20,35,50,45,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
EL-05,EL,S,Standard Receptacles & Switches,EL-02|SU-03,0.20,0.10,0.80,5,10,20,5,0.20,15,30,45,25,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
PL-01,PL,STD,Kitchen Faucet,DW-02,0.15,0.05,0.60,5,10,15,2,0.40,30,45,75,85,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
PL-02,PL,STD,Bathroom Faucet,DW-03,0.15,0.05,0.60,5,10,15,2,0.40,30,45,75,65,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
PL-03,PL,STD,Sink Drains / Pop-ups,PL-01|PL-02|PL-04,0.10,0.10,0.60,5,10,15,0,0.35,15,25,45,15,FALSE,0,0,0,0.05,0,0,0,250,FALSE,0,0,0
PL-04,PL,STD,Garbage Disposal,DW-02|EL-02,0.10,0.05,0.75,5,10,15,0,0.25,30,45,60,110,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
PL-05,PL,S,Toilet Base / Stability,SU-04,0.10,0.05,0.60,5,10,20,5,0.30,30,45,75,10,FALSE,0,0,0,0.10,90,150,240,150,FALSE,0,0,0
PL-06,PL,STD,Toilet Tank,PL-05,0.05,0.05,0.50,5,10,15,0,0.50,15,25,40,20,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
PL-07,PL,STD,Shower/Tub Hardware,NA,0.15,0.05,0.70,5,10,20,0,0.30,20,40,60,45,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
PL-08,PL,STD,P-Traps / PVC Rough-in,NA,0.05,0.05,0.50,30,45,60,0,0.50,0,0,0,300,TRUE,1,3,0,0.00,0,0,0,0,FALSE,0,0,0
VA-01,VA,STD,Bathroom Exhaust Fan,EL-02|SU-03,0.10,0.10,0.70,5,10,15,0,0.20,15,20,35,45,FALSE,0,0,0,0.10,60,90,120,95,FALSE,0,0,0
VA-02,VA,STD,Kitchen Range Hood,EL-02|SU-03,0.10,0.05,0.85,10,15,20,15,0.15,40,60,90,150,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
VA-03,VA,STD,Oven / Stove Range,EL-02|SU-04,0.02,0.05,0.85,5,10,20,35,0.15,45,60,90,650,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
VA-04,VA,STD,Refrigerator,EL-02|SU-04,0.02,0.05,0.85,5,10,20,0,0.15,45,60,90,750,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
VA-05,VA,STD,Thermostat,EL-02|SU-03|SU-05,0.05,0.05,0.80,5,10,15,0,0.20,15,25,40,45,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
DW-01,DW,STD,Interior Doors,SU-04,0.02,0.10,0.70,10,20,30,0,0.25,20,35,50,15,FALSE,0,0,0,0.05,60,90,120,0,FALSE,0,0,0
DW-02,DW,STD,Kitchen Cabinets,NA,0.20,0.10,0.70,5,10,20,0,0.25,20,35,60,45,FALSE,0,0,0,0.05,60,90,150,250,FALSE,0,0,0
DW-03,DW,STD,Bathroom Vanity,NA,0.10,0.05,0.60,0,0,0,0,0.30,15,25,40,15,FALSE,0,0,0,0.10,90,150,240,350,TRUE,24,72,0
DW-04,DW,STD,Window Screens,FS-05,0.25,0.15,0.70,5,10,20,10,0.30,10,15,25,35,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
DW-05,DW,STD,Window Blinds & Shades,FS-05,1.00,0.05,0.85,10,15,25,30,0.15,30,45,60,40,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
DW-06,DW,STD,Balcony / Patio Door,SU-04,0.02,0.10,0.70,5,15,30,0,0.30,20,45,90,45,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
SU-01,SU,STD,Kitchen Countertop Seams,PL-01|PL-03,0.20,0.10,0.60,10,15,25,5,0.30,30,45,60,15,FALSE,0,0,0,0.10,0,0,0,300,TRUE,2,7,24
SU-02,SU,STD,Bathroom Tub/Sink Seams,PL-02|PL-03|PL-07,0.20,0.10,0.60,10,15,25,5,0.30,30,45,60,15,FALSE,0,0,0,0.10,0,0,0,400,TRUE,2,7,24
SU-03,SU,STD,Drywall & Plaster,NA,0.30,0.15,0.70,5,15,30,5,0.30,45,90,150,25,FALSE,0,0,24,0.00,0,0,0,0,FALSE,0,0,0
SU-04,SU,LT,Flooring / Trip Hazards,NA,0.10,0.10,0.80,5,15,25,5,0.20,30,60,120,45,FALSE,0,0,0,0.00,0,0,0,0,FALSE,0,0,0
SU-05,SU,STD,Wall Stains / Paint,SU-03,0.35,0.15,0.75,10,15,25,5,0.25,30,45,75,15,FALSE,0,0,4,0.00,0,0,0,0,FALSE,0,0,0
